City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
497,Xichang,CN,78.87,broken clouds,27.9,102.26,Xichang ibis Hotel
505,Kumluca,TR,83.12,clear sky,36.37,30.29,TurkuazKöy
506,Teahupoo,PF,78.8,scattered clouds,-17.83,-149.27,Vanira Lodge
508,Havelock,US,80.01,clear sky,34.88,-76.9,Sherwood Motel
510,Baleshwar,IN,81.95,overcast clouds,21.49,86.93,Banjara Hotels Pvt Ltd
513,Kirakira,SB,83.14,moderate rain,-10.45,161.92,SanBiz Lodge
514,Aswan,EG,79.74,clear sky,24.09,32.91,Nuba Nile
516,Nishihara,JP,86.0,light rain,26.18,127.76,Minshuku Agaihama
517,Yakuplu,TR,75.0,clear sky,40.99,28.68,ibis Istanbul Esenyurt
522,Alice Springs,AU,75.0,clear sky,-23.7,133.88,Desert Palms Alice Springs
527,Lufilufi,WS,87.8,scattered clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
529,Guiuan,PH,84.36,overcast clouds,11.03,125.72,Khaishra Hotel
530,Los Llanos De Aridane,ES,84.0,few clouds,28.66,-17.92,Valle Aridane
533,Dingle,PH,87.82,overcast clouds,11.0,122.67,Camp Pasica
534,Denpasar,ID,82.4,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
536,Faanui,PF,76.14,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
537,Russell,US,75.2,few clouds,32.35,-85.2,Macs
540,Virginia Beach,US,79.0,broken clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
541,Nabire,ID,81.77,light rain,-3.37,135.48,Hotel Nusantara Nabire
547,Ewa Beach,US,87.8,clear sky,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
549,Deori Khas,IN,77.31,broken clouds,23.4,79.02,UMA TAE CENTER
551,Ambon,ID,80.83,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
554,Ahome,MX,82.49,light rain,25.92,-109.18,Rancho El Sauce y la Palma
558,Dandong,CN,77.97,broken clouds,40.13,124.39,Yiranju Farmstay
563,Shahgarh,IN,79.39,overcast clouds,24.32,79.13,jain chat centar
567,Najran,SA,86.0,broken clouds,17.49,44.13,محمد هادي ال فطيح
571,Wajima,JP,80.6,broken clouds,37.4,136.9,Wajiima Onsen Yashio
572,Saint George,US,87.8,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
